"tool","indicatortype","value"
"superops","domain",".superops.ai"
"superops","domain",".superopsalpha.com"
"netop remote control (impero connect)","domain",".connect.backdrop.cloud"
"netop remote control (impero connect)","domain",".netop.com"
"gotomypc","domain",".gotomypc.com"
"gorelo rmm","process","gorelo.remotemanagement.agent.exe"
"gorelo rmm","process","gorelo.remotemanagement.shell.exe"
"gorelo rmm","process","gorelo.rmm.installer.handler.exe"
"gorelo rmm","process","gorelo.rmm.installer.exe"
"gorelo rmm","domain","app.gorelo.io"
"gorelo rmm","domain","gorelo-rmm.azurewebsites.net"
"gorelo rmm","domain","gw.usw.gorelo.tech"
"gorelo rmm","domain","lr.rmm.pod1.usw.gorelo.tech"
"gorelo rmm","domain","public.rmm.pod1.usw.gorelo.tech"
"gorelo rmm","domain","r1.rmm.uw.gorelo.tech"
"gorelo rmm","domain","sr.rmm.pod1.usw.gorelo.tech"
"remote.it","domain","auth.api.remote.it"
"remote.it","domain","api.remote.it"
"remote.it","domain","remote.it"
"mouse without borders","process","mousewithoutborders.exe"
"mouse without borders","process","mousewithoutborderssvc.exe"
"mouse without borders","process","mousewithoutbordershelper.exe"
"mygreenpc","domain","mygreenpc.com"
"logmein","domain","logmein-gateway.com"
"logmein","domain",".logmein.com"
"logmein","domain",".logmein.eu"
"logmein","domain","logmeinrescue.com"
"logmein","domain",".logmeininc.com"
